LogNumber,Date,Time,AccX,AccY,AccZ,Latitude,Longitude,Speed,PassIn,PassOut
London/25/146,09/08/2019,09:51:52 a. m.,-1.038574219,-0.089111328,0.400146484,51.526975,-0.06037,29.63,0,0
London/25/147,09/08/2019,09:52:10 a. m.,-0.982177734,-0.169189453,0.357421875,51.527317,-0.057142,23.52,0,0
London/25/148,09/08/2019,09:52:28 a. m.,-0.982177734,-0.059570313,0.296386719,51.527472,-0.056477,0,0,0
London/25/149,09/08/2019,09:52:46 a. m.,-1.491455078,-0.255859375,0.207763672,51.527505,-0.056003,21.85,0,0
London/25/15,09/08/2019,09:12:31 a. m.,0,0,0,51.523063,-0.038454,0,0,2
London/25/150,09/08/2019,09:53:04 a. m.,-1.267333984,-0.005859375,0.507080078,51.525614,-0.055134,31.11,0,0
London/25/151,09/08/2019,09:53:22 a. m.,-1.082763672,-0.070556641,0.522705078,51.524863,-0.054892,22.96,0,0
London/25/152,09/08/2019,09:53:40 a. m.,-1.351806641,-0.036865234,0.444091797,51.523603,-0.054947,37.6,0,0
London/25/153,09/08/2019,09:53:57 a. m.,-0.999511719,0.001464844,0.244873047,51.522858,-0.054995,0,0,0
London/25/154,09/08/2019,09:54:15 a. m.,-0.890136719,-0.081054688,0.37109375,51.522834,-0.055022,0,0,0
London/25/155,09/08/2019,09:54:33 a. m.,-1.187255859,-0.143554688,0.530273438,51.522159,-0.055342,45.56,0,0
London/25/156,09/08/2019,09:54:51 a. m.,-1.1875,0.050048828,0.374511719,51.520906,-0.056132,15.74,0,0
London/25/157,09/08/2019,09:55:09 a. m.,-1.083740234,-0.017578125,0.328613281,51.520693,-0.056173,21.67,0,0
London/25/158,09/08/2019,09:55:27 a. m.,-0.898681641,-0.106445313,0.346679688,51.52033,-0.05658,0,0,0
London/25/159,09/08/2019,09:55:45 a. m.,-1.091064453,0.014892578,0.492431641,51.520185,-0.05651,19.08,0,0
London/25/16,09/08/2019,09:12:48 a. m.,-1.154541016,-0.113037109,0.400390625,51.523068,-0.038511,5,0,0
London/25/160,09/08/2019,09:56:03 a. m.,-1.163818359,-0.058837891,0.479003906,51.51934,-0.05593,27.59,0,0
London/25/161,09/08/2019,09:56:21 a. m.,-0.952148438,-0.068359375,0.356201172,51.51847,-0.055556,0,0,0
London/25/162,09/08/2019,09:56:39 a. m.,-1.388183594,0.090332031,0.625,51.517737,-0.055165,30.37,0,0
London/25/163,09/08/2019,09:56:57 a. m.,-1.555908203,-0.098876953,0.572998047,51.516703,-0.055206,22.22,0,0
London/25/164,09/08/2019,09:57:15 a. m.,-1.902099609,-0.082275391,0.675048828,51.515844,-0.055322,25.37,0,0
London/25/165,09/08/2019,09:57:33 a. m.,-1.47265625,0.141601563,0.418457031,51.514406,-0.055667,3.52,0,0
London/25/166,09/08/2019,09:57:50 a. m.,-1.140869141,0.023681641,0.307128906,51.51428,-0.054099,27.22,0,0
London/25/167,09/08/2019,09:58:08 a. m.,-1.167480469,-0.177978516,0.497558594,51.514286,-0.053713,0,0,0
London/25/168,09/08/2019,09:58:26 a. m.,-1.124755859,-0.088378906,0.372802734,51.514226,-0.052594,39.08,0,0
London/25/169,09/08/2019,09:58:44 a. m.,-1.138183594,-0.069824219,0.444091797,51.513468,-0.047835,44.63,0,0
London/25/17,09/08/2019,09:13:06 a. m.,-1.290771484,-0.254638672,0.410400391,51.523149,-0.038004,9.45,0,0
London/25/170,09/08/2019,09:59:02 a. m.,-1.241455078,-0.18359375,0.573730469,51.513229,-0.045303,46.49,0,0
London/25/171,09/08/2019,09:59:20 a. m.,-1.146484375,-0.100097656,0.349121094,51.513194,-0.04312,26.3,0,0
London/25/172,09/08/2019,09:59:38 a. m.,-1.135009766,-0.084716797,0.496826172,51.512678,-0.041319,26.3,0,0
London/25/173,09/08/2019,09:59:56 a. m.,-1.301025391,0.062988281,0.393554688,51.51151,-0.042046,32.04,0,0
London/25/174,09/08/2019,10:00:14 a. m.,-1.076904297,-0.02734375,0.278076172,51.51087,-0.042024,0,0,0
London/25/175,09/08/2019,10:00:32 a. m.,-0.890380859,-0.083984375,0.372802734,51.510855,-0.04201,0,0,0
London/25/176,09/08/2019,10:00:50 a. m.,-0.899414063,-0.084472656,0.364990234,51.51086,-0.041997,0,0,0
London/25/177,09/08/2019,10:01:08 a. m.,-0.944335938,-0.084472656,0.515380859,51.510727,-0.041969,15.93,0,0
London/25/178,09/08/2019,10:01:25 a. m.,-1.410644531,0.073486328,0.358886719,51.510842,-0.040337,39.63,0,0
London/25/179,09/08/2019,10:01:43 a. m.,-1.286132813,-0.072265625,0.391601563,51.511309,-0.03892,27.22,0,0
London/25/18,09/08/2019,09:13:24 a. m.,-1.541992188,-0.160644531,0.513916016,51.523256,-0.038053,10.74,0,0
London/25/180,09/08/2019,10:02:01 a. m.,-1.23828125,-0.062988281,0.495849609,0,0,0,0,0
London/25/181,09/08/2019,10:02:19 a. m.,-1.253173828,-0.045898438,0.352539063,0,0,0,0,0
London/25/182,09/08/2019,10:02:37 a. m.,-1.270019531,-0.013671875,0.473632813,0,0,0,0,0
London/25/183,09/08/2019,10:02:55 a. m.,-1.112792969,-0.103759766,0.416748047,51.507927,-0.027491,15.37,0,0
London/25/184,09/08/2019,10:03:13 a. m.,-1.183349609,-0.068115234,0.575683594,51.507009,-0.027221,37.23,0,0
London/25/185,09/08/2019,10:03:31 a. m.,-1.319824219,0.023925781,0.71484375,51.506478,-0.027078,2.41,0,0
London/25/186,09/08/2019,10:03:49 a. m.,-1.211914063,-0.079833984,0.604492188,51.505257,-0.025572,30.93,0,0
London/25/187,09/08/2019,10:04:07 a. m.,-1.136230469,-0.066162109,0.505371094,51.503915,-0.025109,10.93,0,0
London/25/188,09/08/2019,10:04:25 a. m.,-1.144042969,0.120117188,0.448242188,51.503309,-0.025446,17.22,0,0
London/25/189,09/08/2019,10:04:44 a. m.,-1.026123047,-0.104003906,0.427001953,51.502545,-0.025688,12.04,0,0
